1,KPM TONJONG,Kp. Tonjong RT 12/04,1,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
2,KPM BOJONG,Kp. Bojong RT 14/04,1,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
3,KPM SOLOKAN CERIA,Kp. Solokan RT 12/04,1,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
4,KPM SOLOKAN INDAH,Kp. Solokan RT 13/04,1,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
5,KPM JEUNGJING,Ds. Jeungjing ,2,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
6,KPM RANCA MANGGU,Kp. Ranca Manggu ,2,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
7,KPM RANCA BALONG,Kp. Ranca Balong,2,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
8,KPM BAKUNG,Kp. Bakung RT 14/03,3,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
9,KPM KAKULU I,Kp. Kakulu RT 01/03,3,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
10,KPM KAKULU II,Kp. Kakulu RT 05/04,3,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
11,KPM GEMBONG M,Kp. Pasir Ipis RT 03/09 Ds. Saga,4,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
12,KPM KEPUH M,KP. Kepuh RT 08/03 Ds. Saga,4,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
13,KPM PEKONG  I,Kp. Pekong RT 04/01 Ds. Saga,4,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
14,KPM PEKONG  II,Kp. Pekong RT 03/01 Ds. Saga,4,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
15,KPM PEKONG III,"Kp. Pekong RT 07,08/01, Ds. Saga",4,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
16,KPM BINA PUTRA (BUNAR I),Kp. Sapongkel RT 03/02,5,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
17,KPM PANGGANG JAYA (BUNAR II),Kp. Panggang RT 06/02,5,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
18,KPM BINA SAHAJA (BUNAR III),Kp. Sindang Asih RT 01/03,5,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
19,KPM SODONG,Kp. Sodong  RT01/03,6,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
20,KPM CISEREH,Kp. Cisereh RT 03/01,6,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
21,KPM TAPOS,Kp. Tapos RT 013/05,6,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
22,KPM SONDOL ,"Ds. RANCA BUAYA Kp. Sondol RT 02/01 , RT 02, 03, 11/01",7,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
23,KPM ANCOL PASIR,"Kp. Ranca Buaya, RT 01,04/01",7,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
24,KPM RIMPAK I,"Kp. Rimpak Kulon, RT 04/06 Sindang Sono",8,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
25,KPM RIMPAK II,"Kp. Rimpak Kulon, RT 02/06 Sindang Sono",8,2018-05-23 10:42:00,2018-05-23 10:42:00,NULL
